Country,Year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,Population_Density,Birth_Rate,Child_Mortality
Turkmenistan,2015,5565.283203,50.31700134,97.65894431,0.9479150547,0.247750032,1.145390606,96.21978316,1.000954429,0.473864865,2.305397551,99.07997172,0.895543988,0.0244842949,0,12.2708296980401,26.071,42.4388
Tunisia,2020,11818.61816,69.56800079,97.54330899,1.63135067,0.8253403378,0.0,93.93623193,3.351687357,2.71208071,0.0,99.12119763,0.8788023684,0.0,0,78.2809152935118,16.628,16.6146
Uzbekistan,2015,30929.55664,50.75,97.52857826,0.0,0.0,2.471421736,95.64239155,0.0,0.0,4.357608451,99.35901562,0.0,0.0,0.6409843843,71.0369950068089,23.5,19.1876
Colombia,2020,50882.88281,81.42499542,97.49165711,0.1861521591,0.9536162228,1.368574512,86.76707282,0.7312282016,5.13386897,7.367830005,99.9381928,0.0618072,0.0,0,45.9041568273997,14.435,13.2514
Iran (Islamic Republic of),2020,83992.95313,75.87400055,97.48263633,1.938311229,0.5137973631,0.06525508185,93.82873538,4.297948765,1.602839669,0.2704761905,98.64448672,1.188006671,0.1675066077,0,,,13.0469
North Macedonia,2015,2079.334961,57.40799713,97.47233283,1.885991713,0.5924731745,0.04920227976,97.63323313,1.2224645,1.028782373,0.11552,97.35295808,2.37827419,0.2687677275,0,75.8298969072165,11.1,11.3503
Ireland,2020,4937.795898,63.65299988,97.39970651,0.0,2.600293485,0.0,98.13492075,0.0,1.865079247,0.0,96.97988603,0.0,3.020113966,0,72.3672811728843,11.2,3.2246
Montenegro,2015,626.9569702,65.80599976,97.39129537,1.68690191,0.8814458462,0.04035686954,95.96066218,1.539303155,2.38201141,0.1180232558,98.13467845,1.763596913,0.101724636,0,46.2571747211896,11.9,4.0738
Ireland,2015,4652.419922,62.5379982,97.37212799,0.0,2.627872008,0.0,98.01681619,0.0,1.983183812,0.0,96.98594181,0.0,3.014058189,0,68.2531136594571,13.9,3.6988
Georgia,2020,3989.175049,59.4529953,97.3481397,0.0,2.632761379,0.01909892327,94.2718842,0.0,5.703923618,0.02419218345,99.44615394,0.0,0.538220742,0.01562531586,65.1302704783232,12.966,9.5815
